Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow
152,46189796.16,125364034.50,553.13154586,69911.23,130974.93,508970.99,0.00,0.00,11925.96,45549424.82,9489.46,0.00,0.00,0.00,0.00,0.00,3331.59,-580391.85
153,45549424.82,124812962.15,550.86576462,68720.75,129716.99,507342.74,0.00,0.00,11766.47,44914449.35,9357.18,0.00,0.00,0.00,0.00,0.00,3330.93,-575362.11
154,44914449.35,124266126.50,548.61366910,67548.00,128468.88,505726.78,0.00,0.00,11609.07,44284461.45,9225.93,0.00,0.00,0.00,0.00,0.00,3330.20,-570385.66
155,44284461.45,123723020.97,546.37709842,66397.80,127234.30,504120.32,0.00,0.00,11453.33,43662749.30,9096.41,0.00,0.00,0.00,0.00,0.00,3329.35,-565463.93
156,43662749.30,123184034.34,544.15644550,65069.51,125669.63,502401.61,1197364.21,0.00,11300.12,41851551.42,8719.07,0.00,0.00,0.00,0.00,0.00,20276.76,478222.05
157,41851551.42,122649227.82,541.80657444,73007.37,124624.14,501491.66,0.00,0.00,614827.48,41837404.48,8716.13,0.00,0.00,0.00,0.00,0.00,2965.66,-562991.33
158,41837404.48,122086948.50,539.48742595,71694.67,121572.57,499776.71,0.00,0.00,10674.36,41226822.13,8588.92,0.00,0.00,0.00,0.00,0.00,2996.43,-556137.50
159,41226822.13,121531574.78,537.16306201,70417.64,123451.22,498072.95,0.00,0.00,10528.15,40625524.04,8463.65,0.00,0.00,0.00,0.00,0.00,3043.93,-554492.85
160,40625524.04,120976696.40,534.85689779,69169.71,122227.67,496384.16,0.00,0.00,10382.64,40031849.62,8339.97,0.00,0.00,0.00,0.00,0.00,3041.32,-549463.77
161,40031849.62,120426508.92,532.56463796,67938.39,121014.41,494710.50,0.00,0.00,10238.21,39443240.87,8217.34,0.00,0.00,0.00,0.00,0.00,3039.00,-544491.56
162,39443240.87,119880047.78,530.28951820,66725.73,119814.62,493045.93,0.00,0.00,10094.80,38862563.14,8096.37,0.00,0.00,0.00,0.00,0.00,3036.60,-539577.26
163,38862563.14,119338009.36,528.03535049,65532.80,118630.10,491394.10,0.00,0.00,9954.77,38291461.39,7977.39,0.00,0.00,0.00,0.00,0.00,3034.21,-534722.51
164,38291461.39,118801236.42,525.79629141,64353.38,117455.27,489759.17,0.00,0.00,9816.36,37725024.05,7859.38,0.00,0.00,0.00,0.00,0.00,3031.82,-529926.43
165,37725024.05,118268433.01,523.57208036,63194.97,116295.11,488134.79,0.00,0.00,9679.41,37167684.70,7743.27,0.00,0.00,0.00,0.00,0.00,3029.33,-525190.32
166,37167684.70,117739560.50,521.36704482,62055.02,115146.18,486520.90,0.00,0.00,9544.21,36616447.50,7628.43,0.00,0.00,0.00,0.00,0.00,3026.96,-520508.43
167,36616447.50,117215601.18,519.17647010,60945.44,114011.63,484923.10,0.00,0.00,9410.55,36074105.48,7515.44,0.00,0.00,0.00,0.00,0.00,3024.55,-515889.32
168,36074105.48,116695467.60,517.00560307,59665.41,112573.93,483219.86,1018422.57,0.00,9277.53,34520925.03,7191.86,0.00,0.00,0.00,0.00,0.00,17499.27,411539.62
169,34520925.03,116180372.39,514.94826109,66829.51,79439.30,588209.00,0.00,0.00,506108.28,34409642.15,7168.68,0.00,0.00,0.00,0.00,0.00,2048.53,-593418.94
170,34409642.15,115724563.12,512.91477063,65450.81,77308.28,586209.13,0.00,0.00,8681.79,33809640.35,7043.68,0.00,0.00,0.00,0.00,0.00,2064.26,-587556.47
171,33809640.35,115273622.12,510.88437396,64095.23,77815.78,584224.82,0.00,0.00,8530.72,33215709.44,6919.94,0.00,0.00,0.00,0.00,0.00,2081.39,-583817.13
172,33215709.44,114824477.82,508.86952752,62755.04,76428.12,582255.66,0.00,0.00,8380.72,32628853.33,6797.68,0.00,0.00,0.00,0.00,0.00,2067.50,-578482.72
173,32628853.33,114378875.97,506.87436747,61452.06,75066.42,580301.44,0.00,0.00,8232.08,32052567.09,6677.62,0.00,0.00,0.00,0.00,0.00,2053.57,-573230.91
174,32052567.09,113937811.44,504.89933195,60174.11,73725.76,578367.22,0.00,0.00,8086.11,31482603.73,6558.88,0.00,0.00,0.00,0.00,0.00,2039.98,-568057.82
175,31482603.73,113501396.90,502.93924685,58911.77,72404.07,576455.45,0.00,0.00,7941.71,30917217.73,6441.09,0.00,0.00,0.00,0.00,0.00,2026.34,-562960.08
176,30917217.73,113068386.42,500.99648677,57670.12,71110.80,574558.01,0.00,0.00,7802.79,30359781.05,6324.95,0.00,0.00,0.00,0.00,0.00,2012.57,-557936.94
177,30359781.05,112639369.74,499.07003058,56452.79,69871.98,572678.26,0.00,0.00,7665.50,29807932.72,6209.99,0.00,0.00,0.00,0.00,0.00,1998.69,-553001.01
178,29807932.72,112214122.12,497.15872220,55264.43,68680.71,570814.67,0.00,0.00,7529.03,29265320.24,6096.94,0.00,0.00,0.00,0.00,0.00,1984.87,-548157.10
179,29265320.24,111792311.80,495.26773430,54104.14,67523.75,568966.02,0.00,0.00,7394.07,28735028.35,5986.46,0.00,0.00,0.00,0.00,0.00,1971.30,-543394.02
180,28735028.35,111375230.17,493.39559680,52786.43,66204.48,567086.75,1044888.40,0.00,7259.94,27164195.67,5659.21,0.00,0.00,0.00,0.00,0.00,16925.65,496614.85
181,27164195.67,110962551.38,491.36437427,58949.82,64718.99,565738.62,0.00,0.00,399285.04,27031735.74,5631.61,0.00,0.00,0.00,0.00,0.00,1752.97,-538447.66
182,27031735.74,110515071.90,489.36990525,57666.89,62291.43,563737.81,0.00,0.00,6718.28,26521541.16,5525.32,0.00,0.00,0.00,0.00,0.00,1753.96,-532318.46
183,26521541.16,110075472.05,487.37706993,56401.25,62835.39,561771.84,0.00,0.00,6594.54,26013967.30,5419.58,0.00,0.00,0.00,0.00,0.00,1767.34,-528776.51
184,26013967.30,109637261.92,485.40600855,55165.94,61756.64,559818.05,0.00,0.00,6471.47,25518162.24,5316.28,0.00,0.00,0.00,0.00,0.00,1753.95,-523998.55
185,25518162.24,109204121.73,483.45046253,53958.91,60723.87,557888.07,0.00,0.00,6349.06,25033129.80,5215.24,0.00,0.00,0.00,0.00,0.00,1741.30,-519314.22
186,25033129.80,108774492.14,481.51580261,52776.32,59760.97,555972.70,0.00,0.00,6227.32,24553086.91,5115.23,0.00,0.00,0.00,0.00,0.00,1729.86,-514753.70
187,24553086.91,108349748.27,479.59500131,51607.47,58832.36,554079.55,0.00,0.00,6106.22,24076323.95,5015.90,0.00,0.00,0.00,0.00,0.00,1718.90,-510288.81
188,24076323.95,107928140.85,477.68709912,50452.40,57978.88,552198.96,0.00,0.00,5986.33,23603199.66,4917.33,0.00,0.00,0.00,0.00,0.00,1708.96,-505990.12
189,23603199.66,107509459.36,475.79254393,49316.29,57147.15,550329.80,0.00,0.00,5870.63,23137390.97,4820.29,0.00,0.00,0.00,0.00,0.00,1699.05,-501756.96
190,23137390.97,107093820.55,473.91873562,48217.42,56381.45,548472.69,0.00,0.00,5763.33,22684333.75,4725.90,0.00,0.00,0.00,0.00,0.00,1689.88,-497645.24
191,22684333.75,106683156.79,472.06100174,47146.52,55624.98,546638.38,0.00,0.00,5656.63,22237261.66,4632.76,0.00,0.00,0.00,0.00,0.00,1680.88,-493587.48
192,22237261.66,106276214.32,470.21511187,45950.49,54730.91,544772.22,836866.69,0.00,5550.51,20966299.74,4367.98,0.00,0.00,0.00,0.00,0.00,13909.02,407643.97
193,20966299.74,105871956.09,468.22384611,50774.76,53757.10,543377.89,0.00,0.00,308849.85,20841485.25,4341.98,0.00,0.00,0.00,0.00,0.00,1496.12,-488712.36
194,20841485.25,105436558.98,466.25484083,49592.46,52363.54,541396.15,0.00,0.00,5120.50,20418110.09,4253.77,0.00,0.00,0.00,0.00,0.00,1507.23,-484111.96
195,20418110.09,105005698.39,464.28750146,48425.31,52779.64,539429.15,0.00,0.00,5016.89,19996581.40,4165.95,0.00,0.00,0.00,0.00,0.00,1516.85,-480579.19
196,19996581.40,104576059.24,462.33381436,47276.26,52051.36,537472.79,0.00,0.00,4919.40,19582841.81,4079.76,0.00,0.00,0.00,0.00,0.00,1507.64,-476416.39
197,19582841.81,104149477.60,460.39797249,46146.42,51331.64,535528.69,0.00,0.00,4823.36,19174289.92,3994.64,0.00,0.00,0.00,0.00,0.00,1498.32,-472302.98
198,19174289.92,103727071.30,458.48312987,45059.91,50630.19,533603.01,0.00,0.00,4728.48,18779521.24,3912.40,0.00,0.00,0.00,0.00,0.00,1488.98,-468260.32
199,18779521.24,103309599.30,456.58427603,44015.02,49954.81,531701.07,0.00,0.00,4634.91,18405476.58,3834.47,0.00,0.00,0.00,0.00,0.00,1480.11,-464327.61
200,18405476.58,102895731.36,454.71261615,42984.57,49286.23,529814.61,0.00,0.00,4541.90,18035179.70,3757.33,0.00,0.00,0.00,0.00,0.00,1471.82,-460440.46
201,18035179.70,102488520.42,452.85383622,41967.07,48623.19,527959.95,0.00,0.00,4449.45,17667518.88,3680.73,0.00,0.00,0.00,0.00,0.00,1463.47,-456644.93
202,17667518.88,102084184.42,451.00781470,40973.75,47968.56,526116.80,0.00,0.00,4360.49,17305048.11,3605.22,0.00,0.00,0.00,0.00,0.00,1455.02,-452892.99
203,17305048.11,101682695.04,449.17944224,40009.87,47323.78,524285.08,0.00,0.00,4276.53,16949057.68,3531.05,0.00,0.00,0.00,0.00,0.00,1446.46,-449185.54
204,16949057.68,101285199.31,447.36354173,38920.38,46549.27,522426.67,664938.54,0.00,4193.03,15932777.98,3319.33,0.00,0.00,0.00,0.00,0.00,11411.80,290434.13
205,15932777.98,100890483.85,445.37322447,43156.60,45755.88,521037.64,0.00,0.00,234933.34,15815307.73,3294.86,0.00,0.00,0.00,0.00,0.00,1287.53,-444230.94
206,15815307.73,100457435.04,443.41674335,42128.37,44546.74,519019.41,0.00,0.00,3865.08,15490789.48,3227.25,0.00,0.00,0.00,0.00,0.00,1295.06,-440033.95
207,15490789.48,100031980.75,441.47313277,41131.81,44983.23,517033.63,0.00,0.00,3792.47,15171966.76,3160.83,0.00,0.00,0.00,0.00,0.00,1303.62,-436790.33
208,15171966.76,99610175.16,439.54396828,40146.17,44373.82,515073.56,0.00,0.00,3720.29,14855609.03,3094.92,0.00,0.00,0.00,0.00,0.00,1295.20,-433025.27
209,14855609.03,99191560.79,437.62910253,39173.62,43769.90,513126.77,0.00,0.00,3648.55,14541691.98,3029.52,0.00,0.00,0.00,0.00,0.00,1286.68,-429303.36
210,14541691.98,98776103.97,435.72839004,38255.37,43178.44,511193.15,0.00,0.00,3577.25,14236322.90,2965.90,0.00,0.00,0.00,0.00,0.00,1278.08,-425650.14
211,14236322.90,98363771.49,433.85115475,37394.25,42599.90,509272.57,0.00,0.00,3506.37,13939943.36,2904.15,0.00,0.00,0.00,0.00,0.00,1270.21,-422065.48
212,13939943.36,97956647.05,431.98765038,36544.33,42026.61,507379.45,0.00,0.00,3435.92,13645883.46,2842.89,0.00,0.00,0.00,0.00,0.00,1263.16,-418534.27
213,13645883.46,97552551.09,430.14223485,35708.95,41464.11,505498.91,0.00,0.00,3365.89,13359075.10,2783.14,0.00,0.00,0.00,0.00,0.00,1256.02,-415045.95
214,13359075.10,97152620.46,428.31026355,34884.31,40906.55,503636.77,0.00,0.00,3296.28,13074376.68,2723.83,0.00,0.00,0.00,0.00,0.00,1248.97,-411599.56
215,13074376.68,96755652.62,426.49160158,34070.26,40353.88,501786.95,0.00,0.00,3227.08,12791768.20,2664.95,0.00,0.00,0.00,0.00,0.00,1241.84,-408190.58
216,12791768.20,96361616.86,424.68611572,33171.33,39703.56,499907.49,445535.01,0.00,3169.80,12080491.30,2516.77,0.00,0.00,0.00,0.00,0.00,8211.98,108669.40
217,12080491.30,95970482.83,422.71792447,37245.85,39189.06,498447.45,0.00,0.00,178398.51,12009224.66,2501.92,0.00,0.00,0.00,0.00,0.00,1111.48,-403519.95
218,12009224.66,95543797.02,420.77131987,36412.36,38140.73,496423.69,0.00,0.00,2950.96,11765102.41,2451.06,0.00,0.00,0.00,0.00,0.00,1119.66,-399880.04
219,11765102.41,95121422.56,418.83023587,35591.14,38572.67,494415.28,0.00,0.00,2895.43,11522018.49,2400.42,0.00,0.00,0.00,0.00,0.00,1128.71,-396999.92
220,11522018.49,94700962.61,416.90462509,34781.44,38060.66,492420.27,0.00,0.00,2842.96,11283246.27,2350.68,0.00,0.00,0.00,0.00,0.00,1122.31,-393676.99
221,11283246.27,94283883.44,414.99878801,33985.56,37556.57,490439.91,0.00,0.00,2793.83,11049013.72,2301.88,0.00,0.00,0.00,0.00,0.00,1115.86,-390394.15
222,11049013.72,93871219.18,413.10807235,33201.23,37057.40,488479.65,0.00,0.00,2745.08,10816697.37,2253.48,0.00,0.00,0.00,0.00,0.00,1109.36,-387152.23
223,10816697.37,93461856.87,411.23231190,32428.28,36563.08,486533.72,0.00,0.00,2696.70,10586276.47,2205.47,0.00,0.00,0.00,0.00,0.00,1102.81,-383947.02
224,10586276.47,93055759.36,409.37134276,31666.51,36073.55,484601.99,0.00,0.00,2648.69,10357730.58,2157.86,0.00,0.00,0.00,0.00,0.00,1096.21,-380777.96
225,10357730.58,92652890.06,407.52500326,30915.74,35588.76,482684.29,0.00,0.00,2601.04,10131039.55,2110.63,0.00,0.00,0.00,0.00,0.00,1089.55,-377644.51
226,10131039.55,92253212.86,405.69313394,30213.66,35136.85,480780.49,0.00,0.00,2553.75,9931044.65,2068.97,0.00,0.00,0.00,0.00,0.00,1082.84,-374692.09
227,9931044.65,91856692.18,403.90222258,29533.24,34697.85,478890.44,0.00,0.00,2506.82,9740172.46,2029.20,0.00,0.00,0.00,0.00,0.00,1077.25,-371814.83
228,9740172.46,91469791.20,402.12535758,28754.06,34157.96,477012.19,324861.64,0.00,2460.23,9226316.79,1922.15,0.00,0.00,0.00,0.00,0.00,5798.21,-71126.00
229,9226316.79,91085950.01,400.29379644,31753.55,20115.87,517238.39,0.00,0.00,135171.77,9139587.15,1904.08,0.00,0.00,0.00,0.00,0.00,691.43,-381269.72
230,9139587.15,90696100.13,398.48021164,30890.46,19489.95,515000.20,0.00,0.00,2255.04,8922223.69,1858.80,0.00,0.00,0.00,0.00,0.00,693.31,-378126.76
231,8922223.69,90309722.18,396.67739184,30044.62,19432.08,512780.60,0.00,0.00,2198.75,8710628.08,1814.71,0.00,0.00,0.00,0.00,0.00,690.92,-375219.20
232,8710628.08,89925898.31,394.90338265,29220.24,18928.80,510577.11,0.00,0.00,2142.97,8510994.39,1773.12,0.00,0.00,0.00,0.00,0.00,681.08,-372194.85
233,8510994.39,89548377.20,393.14525277,28409.39,18434.34,508408.12,0.00,0.00,2087.69,8313355.89,1731.95,0.00,0.00,0.00,0.00,0.00,671.55,-369238.67
234,8313355.89,89174061.04,391.40281493,27619.63,17949.17,506257.48,0.00,0.00,2033.46,8118173.58,1691.29,0.00,0.00,0.00,0.00,0.00,662.00,-366321.12
235,8118173.58,88802912.85,389.67631534,26843.32,17472.64,504124.98,0.00,0.00,1979.75,7924955.65,1651.03,0.00,0.00,0.00,0.00,0.00,652.44,-363441.28
236,7924955.65,88434976.47,387.96512671,26079.49,17004.59,502011.02,0.00,0.00,1926.50,7733630.05,1611.17,0.00,0.00,0.00,0.00,0.00,642.85,-360598.49
237,7733630.05,88070132.97,386.26906948,25348.84,16547.67,499914.77,0.00,0.00,1876.44,7546561.25,1572.20,0.00,0.00,0.00,0.00,0.00,633.25,-357795.25
238,7546561.25,87708346.90,384.59003076,24633.30,16107.40,497836.05,0.00,0.00,1827.24,7361681.55,1533.68,0.00,0.00,0.00,0.00,0.00,623.63,-355029.21
239,7361681.55,87350009.77,382.92543000,23929.02,15690.97,495777.68,0.00,0.00,1778.41,7178539.00,1495.53,0.00,0.00,0.00,0.00,0.00,614.00,-352303.00
240,7178539.00,86994602.91,381.27501419,23134.58,15240.81,493725.29,321734.41,0.00,1729.92,6677267.85,1391.10,0.00,0.00,0.00,0.00,0.00,5298.00,-81330.22
241,6677267.85,86642079.15,379.41178485,25607.74,14680.67,491830.35,0.00,0.00,98584.65,6598550.80,1374.70,0.00,0.00,0.00,0.00,0.00,545.62,-347706.83
242,6598550.80,86241792.67,377.57006223,24837.73,13949.00,489520.69,0.00,0.00,1567.85,6425001.99,1338.54,0.00,0.00,0.00,0.00,0.00,540.86,-344577.51
243,6425001.99,85845652.18,375.74067047,24102.54,13938.93,487234.26,0.00,0.00,1527.66,6254038.53,1302.92,0.00,0.00,0.00,0.00,0.00,537.04,-341766.37
244,6254038.53,85452394.81,373.92918844,23380.32,13564.06,484965.81,0.00,0.00,1487.76,6084874.51,1267.68,0.00,0.00,0.00,0.00,0.00,527.54,-338868.11
245,6084874.51,85062790.85,372.13433528,22670.03,13196.00,482718.72,0.00,0.00,1448.15,5917387.24,1232.79,0.00,0.00,0.00,0.00,0.00,518.06,-336008.61
246,5917387.24,84676598.23,370.35590202,22004.75,12838.46,480491.29,0.00,0.00,1408.83,5754865.44,1198.93,0.00,0.00,0.00,0.00,0.00,508.56,-333198.38
247,5754865.44,84293775.15,368.59920648,21397.07,12496.61,478283.27,0.00,0.00,1374.59,5601904.68,1167.06,0.00,0.00,0.00,0.00,0.00,499.69,-330445.21
248,5601904.68,83915411.70,366.86550768,20807.70,12165.89,476102.50,0.00,0.00,1345.42,5454583.85,1136.37,0.00,0.00,0.00,0.00,0.00,491.53,-327739.36
249,5454583.85,83541891.01,365.14737747,20227.56,11848.39,473950.04,0.00,0.00,1316.47,5308640.29,1105.97,0.00,0.00,0.00,0.00,0.00,483.47,-325078.74
250,5308640.29,83171571.86,363.44434787,19656.37,11558.06,471815.98,0.00,0.00,1287.75,5164033.37,1075.84,0.00,0.00,0.00,0.00,0.00,475.79,-322460.34
251,5164033.37,82804371.20,361.75595319,19136.99,11305.55,469699.78,0.00,0.00,1259.25,5029642.84,1047.84,0.00,0.00,0.00,0.00,0.00,468.48,-319942.61
252,5029642.84,82440204.38,360.09667321,18586.85,11044.69,467591.24,219741.20,0.00,1230.96,4686536.39,976.36,0.00,0.00,0.00,0.00,0.00,3837.99,-132289.29
253,4686536.39,82082164.35,358.23531904,20472.59,10729.05,465643.29,0.00,0.00,68843.79,4629481.84,964.48,0.00,0.00,0.00,0.00,0.00,418.97,-315555.76
254,4629481.84,81678622.71,356.39238722,19946.95,10423.12,463311.60,0.00,0.00,1132.27,4512022.81,940.00,0.00,0.00,0.00,0.00,0.00,420.50,-312894.24
255,4512022.81,81278793.11,354.56939971,19430.23,10414.06,461000.36,0.00,0.00,1111.25,4395664.27,915.76,0.00,0.00,0.00,0.00,0.00,418.51,-310316.53
256,4395664.27,80883469.95,352.76287876,18921.45,10215.56,458716.05,0.00,0.00,1090.45,4280389.60,891.75,0.00,0.00,0.00,0.00,0.00,413.40,-307744.05
257,4280389.60,80491603.46,350.97261355,18421.15,10019.31,456451.63,0.00,0.00,1069.85,4166185.09,867.96,0.00,0.00,0.00,0.00,0.00,408.26,-305201.61
258,4166185.09,80103150.27,349.19839666,17932.63,9826.92,454206.84,0.00,0.00,1049.47,4054483.72,844.68,0.00,0.00,0.00,0.00,0.00,403.09,-302696.38
259,4054483.72,79718067.75,347.45922479,17503.48,9660.98,451981.46,0.00,0.00,1029.28,3965154.55,826.07,0.00,0.00,0.00,0.00,0.00,397.99,-300332.45
260,3965154.55,79340594.45,345.73558242,17081.82,9497.00,449801.09,0.00,0.00,1009.30,3876695.35,807.64,0.00,0.00,0.00,0.00,0.00,394.16,-298067.12
261,3876695.35,78966383.20,344.02727259,16667.50,9334.96,447639.51,0.00,0.00,989.52,3789094.35,789.39,0.00,0.00,0.00,0.00,0.00,390.33,-295827.30
262,3789094.35,78595393.47,342.33410148,16260.39,9174.83,445496.47,0.00,0.00,969.94,3702339.99,771.32,0.00,0.00,0.00,0.00,0.00,386.49,-293612.57
263,3702339.99,78227585.40,340.65587837,15860.33,9016.57,443371.75,0.00,0.00,950.55,3616420.94,753.42,0.00,0.00,0.00,0.00,0.00,382.64,-291422.54
264,3616420.94,77862919.76,338.99241556,15391.24,8830.02,441256.54,139136.98,0.00,931.35,3392303.74,706.73,0.00,0.00,0.00,0.00,0.00,2581.66,-201694.28
265,3392303.74,77501357.90,337.10337578,17176.99,8635.98,439274.55,0.00,0.00,49265.73,3354250.73,698.80,0.00,0.00,0.00,0.00,0.00,347.32,-287561.84
266,3354250.73,77088727.90,335.23400753,16723.82,8389.01,436882.92,0.00,0.00,861.21,3271575.22,681.58,0.00,0.00,0.00,0.00,0.00,348.57,-285086.68
267,3271575.22,76680113.73,333.39660523,16297.07,8415.30,434513.84,0.00,0.00,842.14,3203929.01,667.49,0.00,0.00,0.00,0.00,0.00,347.18,-282725.37
268,3203929.01,76278618.74,331.57700222,15877.98,8276.98,432186.12,0.00,0.00,823.28,3137097.61,653.56,0.00,0.00,0.00,0.00,0.00,343.66,-280413.57
269,3137097.61,75880885.17,329.77495491,15467.01,8140.58,429880.29,0.00,0.00,804.62,3071068.30,639.81,0.00,0.00,0.00,0.00,0.00,340.14,-278130.50
270,3071068.30,75486862.83,327.99022396,15063.97,8006.07,427596.04,0.00,0.00,786.17,3005828.63,626.21,0.00,0.00,0.00,0.00,0.00,336.64,-275875.67
271,3005828.63,75096502.35,326.22257411,14668.70,7873.41,425333.10,0.00,0.00,767.92,2941366.40,612.78,0.00,0.00,0.00,0.00,0.00,333.15,-273648.59
272,2941366.40,74709755.20,324.47177416,14281.03,7742.58,423091.18,0.00,0.00,749.87,2877669.62,599.51,0.00,0.00,0.00,0.00,0.00,329.66,-271448.80
273,2877669.62,74326573.69,322.73759684,13900.79,7613.53,420870.02,0.00,0.00,732.02,2814726.55,586.40,0.00,0.00,0.00,0.00,0.00,326.19,-269275.83
274,2814726.55,73946910.91,321.01981879,13527.83,7486.25,418669.35,0.00,0.00,714.35,2752525.69,573.44,0.00,0.00,0.00,0.00,0.00,322.72,-267129.24
275,2752525.69,73570720.76,319.31822043,13162.00,7360.69,416488.89,0.00,0.00,696.88,2691055.75,560.64,0.00,0.00,0.00,0.00,0.00,319.25,-265008.57
276,2691055.75,73197957.90,317.63258589,12737.23,7211.36,414320.79,93442.00,0.00,679.59,2536962.63,528.53,0.00,0.00,0.00,0.00,0.00,1566.12,-224932.62
277,2536962.63,72828577.74,315.71163254,14114.64,7079.72,412270.68,0.00,0.00,37334.49,2511881.79,523.31,0.00,0.00,0.00,0.00,0.00,289.28,-261224.71
278,2511881.79,72405230.04,313.81170631,13701.66,6875.72,409810.60,0.00,0.00,615.95,2450980.82,510.62,0.00,0.00,0.00,0.00,0.00,290.06,-258814.48
279,2450980.82,71986250.29,311.92930902,13297.07,6892.88,407375.46,0.00,0.00,598.91,2390728.53,498.07,0.00,0.00,0.00,0.00,0.00,288.67,-256468.27
280,2390728.53,71571246.21,310.06623440,12900.23,6768.24,404964.68,0.00,0.00,582.08,2331256.32,485.68,0.00,0.00,0.00,0.00,0.00,284.96,-254135.80
281,2331256.32,71160374.63,308.22220668,12511.53,6645.43,402578.12,0.00,0.00,565.44,2272551.40,473.45,0.00,0.00,0.00,0.00,0.00,281.27,-251834.76
282,2272551.40,70753577.98,306.39695503,12130.79,6524.43,400215.47,0.00,0.00,549.00,2214601.24,461.38,0.00,0.00,0.00,0.00,0.00,277.58,-249564.60
283,2214601.24,70350799.72,304.59021344,11757.83,6405.21,397876.37,0.00,0.00,532.76,2157393.55,449.46,0.00,0.00,0.00,0.00,0.00,273.91,-247324.75
284,2157393.55,69951984.29,302.80172064,11392.47,6287.72,395560.52,0.00,0.00,516.70,2100916.32,437.69,0.00,0.00,0.00,0.00,0.00,270.25,-245114.66
285,2100916.32,69557077.10,301.03121996,11034.54,6171.93,393267.58,0.00,0.00,500.83,2045157.76,426.07,0.00,0.00,0.00,0.00,0.00,266.60,-242933.81
286,2045157.76,69166024.52,299.27845931,10683.88,6057.82,390997.26,0.00,0.00,485.15,1990106.32,414.61,0.00,0.00,0.00,0.00,0.00,262.96,-240781.66
287,1990106.32,68778773.83,297.54319101,10340.33,5945.36,388749.23,0.00,0.00,469.65,1935750.70,403.28,0.00,0.00,0.00,0.00,0.00,259.33,-238657.72
288,1935750.70,68395273.24,295.82517173,9951.82,5813.64,386516.54,85059.93,0.00,454.34,1797099.29,374.40,0.00,0.00,0.00,0.00,0.00,1409.58,-203205.54
289,1797099.29,68015471.86,293.90620935,10684.77,5684.55,384398.93,0.00,0.00,26841.24,1769454.06,368.64,0.00,0.00,0.00,0.00,0.00,229.81,-234696.24
290,1769454.06,67589579.66,292.00880635,10309.66,5506.43,381925.91,0.00,0.00,397.74,1716194.14,357.54,0.00,0.00,0.00,0.00,0.00,229.59,-232327.32
291,1716194.14,67168212.67,290.12987712,9942.57,5517.38,379478.95,0.00,0.00,382.81,1663547.87,346.57,0.00,0.00,0.00,0.00,0.00,227.85,-230015.69
292,1663547.87,66751025.48,288.27091861,9582.92,5406.99,377057.49,0.00,0.00,368.07,1611626.41,335.76,0.00,0.00,0.00,0.00,0.00,224.13,-227723.24
293,1611626.41,66338137.52,286.43163518,9231.04,5298.31,374661.32,0.00,0.00,353.52,1560417.46,325.09,0.00,0.00,0.00,0.00,0.00,220.42,-225463.09
294,1560417.46,65929486.91,284.61173677,8886.74,5191.31,372290.10,0.00,0.00,339.15,1509908.92,314.56,0.00,0.00,0.00,0.00,0.00,216.73,-223234.65
295,1509908.92,65525012.89,282.81093872,8552.67,5086.14,369943.45,0.00,0.00,325.16,1460248.95,304.22,0.00,0.00,0.00,0.00,0.00,213.05,-221037.43
296,1460248.95,65124655.80,281.02967515,8235.90,4983.25,367621.04,0.00,0.00,312.00,1411836.40,294.13,0.00,0.00,0.00,0.00,0.00,209.37,-218871.12
297,1411836.40,64728469.64,279.26693290,7925.68,4881.91,365323.34,0.00,0.00,298.98,1364063.41,284.18,0.00,0.00,0.00,0.00,0.00,205.71,-216734.81
298,1364063.41,64336280.32,277.52244363,7622.66,4782.20,363049.16,0.00,0.00,286.22,1317012.07,274.38,0.00,0.00,0.00,0.00,0.00,202.06,-214628.04
299,1317012.07,63948031.48,275.79821326,7344.37,4686.50,360798.16,0.00,0.00,276.10,1272760.76,265.16,0.00,0.00,0.00,0.00,0.00,198.42,-212553.15
300,1272760.76,63564033.53,274.09167342,7038.56,4575.99,358566.83,68929.36,0.00,266.07,1160203.83,241.71,0.00,0.00,0.00,0.00,0.00,1255.09,-182783.10
301,1160203.83,63183859.84,272.13503646,7655.78,4463.96,356448.88,0.00,0.00,17595.11,1134143.81,236.28,0.00,0.00,0.00,0.00,0.00,174.90,-208573.46
302,1134143.81,62746097.21,270.20541489,7359.10,4316.30,353908.33,0.00,0.00,235.87,1094570.60,228.04,0.00,0.00,0.00,0.00,0.00,173.67,-206230.74
303,1094570.60,62313927.33,268.29624662,7069.24,4329.19,351400.85,0.00,0.00,230.21,1055480.51,219.89,0.00,0.00,0.00,0.00,0.00,171.54,-203943.50
304,1055480.51,61886390.88,266.40873391,6785.69,4238.84,348921.48,0.00,0.00,224.62,1016968.12,211.87,0.00,0.00,0.00,0.00,0.00,167.72,-201681.19
305,1016968.12,61463568.07,264.54253666,6508.74,4150.00,346469.95,0.00,0.00,219.08,979022.89,203.96,0.00,0.00,0.00,0.00,0.00,163.93,-199453.30
306,979022.89,61045386.90,262.69732158,6238.23,4062.63,344045.83,0.00,0.00,213.59,941634.50,196.17,0.00,0.00,0.00,0.00,0.00,160.15,-197259.16
307,941634.50,60631776.77,260.87276197,5980.24,3977.07,341648.69,0.00,0.00,208.17,905106.17,188.56,0.00,0.00,0.00,0.00,0.00,156.39,-195098.50
